id,first_name,last_name,avg_order_amount
1,Michael,P.,0
2,Shawn,M.,0
3,Kathleen,P.,0
4,Jimmy,C.,0
5,Katherine,R.,0
6,Sarah,R.,0
7,Martin,M.,0
8,Frank,R.,0
9,Jennifer,F.,0
10,Henry,W.,0
11,Fred,S.,0
12,Amy,D.,0
13,Kathleen,M.,0
14,Steve,F.,0
15,Teresa,H.,0
16,Amanda,H.,0
17,Kimberly,R.,0
18,Johnny,K.,0
19,Virginia,F.,0
20,Anna,A.,0
21,Willie,H.,0
22,Sean,H.,0
23,Mildred,A.,0
24,David,G.,0
25,Victor,H.,0
26,Aaron,R.,0
27,Benjamin,B.,0
28,Lisa,W.,0
29,Benjamin,K.,0
30,Christina,W.,0
31,Jane,G.,0
32,Thomas,O.,0
33,Katherine,M.,0
34,Jennifer,S.,0
35,Sara,T.,0
36,Harold,O.,0
37,Shirley,J.,0
38,Dennis,J.,0
39,Louise,W.,0
40,Maria,A.,0
41,Gloria,C.,0
42,Diana,S.,0
43,Kelly,N.,0
44,Jane,R.,0
45,Scott,B.,0
46,Norma,C.,0
47,Marie,P.,0
48,Lillian,C.,0
49,Judy,N.,0
50,Billy,L.,0
51,Howard,R.,0
52,Laura,F.,0
53,Anne,B.,0
54,Rose,M.,0
55,Nicholas,R.,0
56,Joshua,K.,0
57,Paul,W.,0
58,Kathryn,K.,0
59,Adam,A.,0
60,Norma,W.,0
61,Timothy,R.,0
62,Elizabeth,P.,0
63,Edward,G.,0
64,David,C.,0
65,Brenda,W.,0
66,Adam,W.,0
67,Michael,H.,0
68,Jesse,E.,0
69,Janet,P.,0
70,Helen,F.,0
71,Gerald,C.,0
72,Kathryn,O.,0
73,Alan,B.,0
74,Harry,A.,0
75,Andrea,H.,0
76,Barbara,W.,0
77,Anne,W.,0
78,Harry,H.,0
79,Jack,R.,0
80,Phillip,H.,0
81,Shirley,H.,0
82,Arthur,D.,0
83,Virginia,R.,0
84,Christina,R.,0
85,Theresa,M.,0
86,Jason,C.,0
87,Phillip,B.,0
88,Adam,T.,0
89,Margaret,J.,0
90,Paul,P.,0
91,Todd,W.,0
92,Willie,O.,0
93,Frances,R.,0
94,Gregory,H.,0
95,Lisa,P.,0
96,Jacqueline,A.,0
97,Shirley,D.,0
98,Nicole,M.,0
99,Mary,G.,0
100,Jean,M.,0
